"WaterbodyID","DistCat","DistCat_trim","DistCat2","Alkalinity_uEqL","Chla_ugL","Chloride_mgL","Conductivity_uScm","DO_bttm_mgL","DO_mean_1mBlwThrmclin_mgL","DO_mean_hypo_mgL","DO_mean_surf_mgL","DO_mgL","DO_SAT_pct","DOSAT_bttm_pct","DOSAT_mean_1mBlwThrmclin_pct","DOSAT_mean_hypo_pct","DOSAT_mean_surf_pct","NO3NO2_mgL","pH_bttm","pH_mean_1mBlwThrmclin","pH_mean_hypo","pH_mean_surf","pH_None","Temp_bttm_C","Temp_min_C","Temperature_Water_DegC","TN_mgL","TP_mgL","WsAreaSqKm","BFICat","ElevCat","Al2O3Cat","K2OCat","Na2OCat","PctImp2019Cat","KffactCat","InorgNWetDep_2008Cat","Tmean8110Cat","RunoffCat","SlopeCat","ClayCat","SandCat","OmCat","WetIndexCat","WetIndexWs","PctUrb2019Ws","PctFor2019Ws","PctWet2019Ws"
"TtID_101645",,"Unknown","Non_Ref",,,,,,,,,,,,,,,,,,,,,,,,,0.47,,,,,,,,,,,,,,,,,,,,
"TtID_10294116","Strs","Strs","Non_Ref",129.5626,1.41448275862069,5.25566666666667,33.7322033898305,,,,,8.94915254237288,78.185,,,,,0.1975,,,,,6.4021186440678,,,10.7227118644068,0.3364,0.00964333333333333,474.6699,44.38327928,521.0259763,14.86520486,2.745285295,2.229452068,0.419454541,0.351407614,5.052338806,5.731142047,862,13.52347838,6.545578332,37.52530605,0.597085379,914.502884,760.0272728,1.979670504,81.61851004,6.845894378
"TtID_10294130","SubRef","Ref","Ref",94.1516,4.52333333333333,2.66,27.46,,,,,9.1475,77.45,,,,,,,,,,6.965,,,14.686,0.205,0.0136281538461538,5.7789,44.095468,549.1250849,14.43229631,2.416102807,2.579631432,0.710792711,0.41,4.948076238,5.751336586,862,10.52664025,6.56,36.92,0.41,765.3189534,765.3189534,1.230337954,75.19078025,10.02959041
"TtID_10294132","SubRef","Ref","Ref",166.64,32.5788888888889,,22.4444444444444,,,,,11.0522222222222,,,,,,,,,,,6.43666666666667,,,8.91222222222222,0.36,0.0187,0.3249,44,508.8652632,14.3070116,2.334892035,2.924897909,1.315789474,0.41,4.990502357,5.653807513,862,6.103074746,6.56,36.92,0.41,514.5041551,514.5041551,2.216066482,66.48199446,0
"TtID_10294134","Other","Other","Non_Ref",332.94672,2.60375,21.3,113.6,,,,,11.56125,,,,,,,,,,,6.451,,,6.383,0.19,0.00953,0.6057,45.7756315,536.4994502,14.3070116,2.334892035,2.924897909,1.456166419,0.41,5.006700254,5.517342222,862,16.04543346,6.56,36.92,0.41,707.4650817,707.4650817,2.971768202,73.40267459,10.84695394
"TtID_10294136","Other","Other","Non_Ref",142.4772,1.791,4.0375,39.475,,,,,7.4775,72.8916666666667,,,,,,,,,,6.225,,,13.9591666666667,0.17333325,0.01060625,13.9302,45,496.2940189,14.49440109,2.321071232,1.647079263,1.629590766,0.41,4.825669507,5.843429908,862,16.37034863,6.56,36.92,0.41,758.0419727,761.250743,1.58935263,76.68949477,8.237498385
"TtID_10294144","SomeStrs","Strs","Non_Ref",192.4692,3.69785714285714,8.9496,57.6833333333333,,,,,10.5641666666667,97.3833333333333,,,,,,,,,,6.46714285714286,,,10.3758333333333,0.201703666666667,0.0135647647058824,8.6445,45.05122332,559.0803446,14.36223639,2.35938852,2.847068551,1.539302447,0.408315461,4.945617157,5.741830697,862,8.592189818,6.557813639,37.01400416,0.419799063,794.2551796,794.2551796,3.269130661,64.84122853,7.558563248
"TtID_10294148","Other","Other","Non_Ref",174.972,4.953541625,2.48,27,,,,,9.38642857142857,88.8666666666667,,,,,,,,,,6.59,,,13.3321428571429,1.15,0.015075,0.9333,45,602.7337223,15.05390284,2.752716355,1.835168954,0.505303761,0.371697203,4.978248991,6.020839556,862,18.29954789,6.493172613,37.95644166,0.732902604,694.7820636,694.7820636,1.06075217,77.91706847,0.289296046
"TtID_10294150","Strs","Strs","Non_Ref",133.312,1.84047619047619,5.085,34.5238095238095,,,,,11.5209523809524,,,,,,,,,,,5.92904761904762,,,6.33095238095238,0.255,0.00974,608.8347,45.62163985,486.17409,14.15323442,2.516315733,1.647001517,0.378745544,0.23,4.956180537,6.399752861,862,19.89085342,5.917438096,40.17062337,1.525688409,741.8969072,752.2357458,1.715638087,83.05944126,6.7167985
"TtID_10294156","Other","Other","Non_Ref",127.757333333333,1.5,,27.9285714285714,,,,,3.45,,,,,,,,,,,6.65714285714286,,,20.7285714285714,,0.0269166666666667,11.3013,45.97213006,484.4855707,14.22366921,1.960924936,2.266287574,0.611479761,0.23,4.851180857,6.55212199,862,12.27028452,6.040789648,41.17960849,1.830451228,808.8351029,773.845823,1.21048021,82.93382177,3.042127897
"TtID_10294248","Other","Other","Non_Ref",166.64,1.26666666666667,13.3333333333333,,8.26666666666667,,,8,,,96.8333333333333,,,95,,6.75,,,6.7,,22.5,22.5,,0.242,0.01,4.0203,46.9225834,529.6921471,14.42718788,2.716047938,3.045071242,1.260051326,0.23,4.91543034,6.711979136,837.0701454,11.19422381,6.21,42.17400342,2.22,735.7241232,788.2563242,2.149093351,75.59883591,12.0886501
"TtID_10294252","BestRef","Ref","Ref",144.421333333333,2.6444,,34.2388888888889,7.93,,,8.05,5.20690475,85,,,,,0.02625,6.93,,,6.846666667,6.77194444444444,22.9,22.8,21.0670370555556,0.1815,0.00918181818181818,1.6542,46.87323177,542.3999728,14.23232632,2.063177387,2.362824823,0.785092492,0.23,4.91384161,6.678281881,815.6648531,9.91119867,6.21,42.1898259,2.22,860.3612622,860.3612622,1.577801959,72.85092492,9.357997824
"TtID_120052153","SomeStrs","Strs","Non_Ref",,,,,,,,,,,,,,,,,,,,,,,23.8055555,,,17.6454,47.72113747,300.9969427,13.27764917,2.360930737,2.563126348,0.883435985,0.19,5.139818723,7.591211328,616.4362469,7.319059586,4.99,55.7,1.45,817.8586031,805.8894726,1.591349587,81.92900133,5.636029787
"TtID_123912469","Strs","Strs","Non_Ref",,,,,,,,,,,,,,,0.25,,,,,,,,,0.52,0.005,61.191,53.34295342,135.3655557,13.320307,2.36684794,1.869566054,38.93157237,0.188336323,4.53770017,9.151603969,700,5.804222905,4.304910593,58.82136747,0.844189902,869.6718843,813.6441241,53.16075894,22.77099573,5.569936755
"TtID_123912876",,"Unknown","Non_Ref",,,,,,,,,,,,,,,,,,,,,,,,0.27,0.011,,,,,,,,,,,,,,,,,,,,
"TtID_135911054",,"Unknown","Non_Ref",,7.50966666666667,41,203,,,,,,,,,,,0.123333333333333,,,,,6.46,,,,,0.022,,,,,,,,,,,,,,,,,,,,
"TtID_135912263",,"Unknown","Non_Ref",,,,,,,,,,,,,,,,,,,,,,,24.95,,,,,,,,,,,,,,,,,,,,,,
"TtID_135912951",,"Unknown","Non_Ref",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TtID_135912972",,"Unknown","Non_Ref",941.516,,56.5,303,,,,,5.325,59,,,,,0.45,,,,,6.65,,,21.175,,0.05,,,,,,,,,,,,,,,,,,,,
"TtID_136675893",,"Unknown","Non_Ref",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TtID_136691041",,"Unknown","Non_Ref",100.65056,2.1825,2.82392871428571,139.185532416667,,,,,9.42864444,93.61968888,,,,,0.115850666666667,,,,,5.21651821311475,,,16.57427776,0.114024777777778,0.00705146666666667,,,,,,,,,,,,,,,,,,,,
"TtID_136691042",,"Unknown","Non_Ref",,1.46242427272727,1.67512407142857,77.49304036,,,,,7.78500884,74.2974444,,,,,0.0771967777777778,,,,,4.885505515625,,,13.85194968,0.29629175,0.0135995,,,,,,,,,,,,,,,,,,,,
