WaterbodyID,COMID_Final,Outlier_COMID,DIST_Catv2,DistCat_trim,Alkalinity_uEqL,Aluminum_ugL,Arsenic_ugL,Chloride_mgL,Color_Apparent_PCU,Color_True_PCU,Conductivity_uScm,Copper_ugL,DO_mgL,DO_SAT_pct,E_coli_CFU100mL,Enterococcus_CFU100mL,Fecal_Coliform_CFU100mL,Hardness_mgL,Iron_ugL,Lead_ugL,Manganese_ugL,pH_None,Selenium_ugL,Sodium_mgL,Temperature_Water_DegC,TN_mgL,TP_mgL,Zinc_ugL,Al2O3Cat,AvgPredEC,BFICat,ClayCat,ElevCat,InorgNWetDep_2008Cat,IWI_v2_1,K2OCat,KffactCat,Na2OCat,OmCat,pcSLOPE,PctForest2019Ws,PctImp2019Ws,PctUrban2019Ws,PctWetland2019Ws,RockNCat,RunoffCat,SandCat,TmeanCat,WetIndexCat,WsAreaSqKm
TtID_01beee79-1f69-4854-a29c-ce374889f5d4,-999999,No,,Unknown,,,,48.81818,,,297.87273,,,,,,,,,,,6.94857,,,,,0.01437,,,,,,,,,,,,,,,,,,,,,,,
TtID_052e56ee-c2ca-43fd-accd-191d18f9c354,-999999,No,,Unknown,,,,,,,,,,,,,,,,,,,,,,,0.22663,,,,,,,,,,,,,,,,,,,,,,,
TtID_10294440,10294440,No,Strs,Strs,111.6488,132,3,5.375,,20,37.45,10,10.86,91.2,,,,7.47,343.5,3,120.55,6.21,5,3.245,6.8,0.39,0.02074,37.5,15.0592,53.85911602,45.3756,5.9706,525.4509,4.9579,0.766726485,2.6356,0.3225,1.8433,1.3156,9.021978,81.64,1.06,1.98,6.83,157.5079,862,38.067,5.846649495,691.7979,475.9614
TtID_10294448,10294448,No,Other,Other,774.0428,31.72,2,14.458,,16.83333,132.68571,10,8.974,90.7,407.85294,,,25.3,381,2,38.8,7.018,5,13.05,15.12,0.491,0.04748,43.75,14.0383,61.96685083,45.0138,6.56,461.0051,4.8479,0.676053111,2.3221,0.41,1.5459,0.41,1.470544,77.2,1.43,2.82,6.29,141.511,862,36.92,5.985426529,652.8155,24.8364
TtID_10294480,10294480,No,Strs,Strs,138.3112,9,3,6.05,,22.5,42.725,10,11.02,96.7,,,,8.55,285.5,5,140.15,6.24,5,3.445,8.25,0.39,0.012,17.5,14.9748,53.56298343,45.8685,6.0356,507.2069,4.9744,0.767219446,2.6976,0.3093,1.5694,1.1969,0.890437,81.86,1.05,1.96,6.69,146.553,862,38.3348,5.913231494,701.4031,492.8004
TtID_10294494,10294494,No,Other,Other,706.5536,50,1,8.64,,,,10,,,,,,23.9,65.6,1,9.41,,5,6.63,,0.15,0.00691,50,11.48,61.01104972,46,6.56,378.3378,4.7566,0.686117353,2.055,0.4061,1.1575,0.41,0.001,79.21,1.01,1.97,4.49,137.5811,862,37.1877,6.752252789,683.504,54.8982
TtID_10294498,10294498,No,Strs,Strs,168.86187,141.33333,1,6.43667,,31.66667,43,13.99333,11.37333,107.26667,,,,9.10667,467.66667,2.33333,58.98333,7.06,5,4.21,11.76667,0.3,0.01167,60,15.3991,53.50331492,46,5.71,452.7474,4.9835,0.774644208,2.9348,0.2445,1.2327,1.04,0.843137,82.78,0.96,1.78,6.91,150.2823,862,38.7598,6.362489501,665.8242,578.5695
TtID_10294520,10294520,Yes,SubRef,Ref,766.544,20,,6.51857,,5,106.5,,10.13,101.2,,,,27.971,50,,5,7.39,,7.475,14.68,0.21143,0.01574,,10.1588,64.02596685,45.4498,5.71,332.0998,4.7683,0.715179375,1.8701,0.23,1.2484,1.04,0.91263,82.85,0.82,1.57,3.59,153.2382,862,38.76,7.081127232,703.8818,102.5451
TtID_10294528,10294528,Yes,Ref,Ref,,,,,,,72,,9.97,99.4,75.2,,,,,,,7.92,,,15.9,,,,12.9081,49.47679558,47,5.71,230.8232,4.6971,0.75405249,1.8736,0.23,1.7305,1.04,0.667271,88.98,0.41,0.66,2.13,137.9118,862,38.76,7.514497605,718.4444,90.567
TtID_10294558,10294558,No,SomeStrs,Strs,,,,2.29412,,15,171.3,,9.39091,99.45455,,,,,,,,8.09,,,16.1,0.19294,0.008,,11.9572,58.33314917,47,5.71,268.0203,4.7186,0.753801403,1.8706,0.23,1.5077,1.04,2.267838,88.26,0.26,0.42,1.43,133.0769,843.7923,38.76,7.391982882,703.1757,6.8076
